artist_full_name,cultivar_name,fruit_common_name,fruit_origin_country,fruit_origin_polity,fruit_scientific_name,fruit_variety,image_created_year,image_url,is_originpolity_largest_producer,is_usda_recognized_plant_family,pomological_Id
Passmore Deborah Griscom,apple,apples,United States, Pennsylvania,malus domestica,Gordon,1896.0,/POM00002043.jpg,False,True,POM00002043
Newton Amanda Almira,apple,apples,United States, Michigan,malus domestica,Gracie,1915.0,/POM00001557.jpg,False,True,POM00001557
Schutt Ellen Isham,apple,apples,United States, Montana,malus domestica,Grahams Royal Jubilee,1907.0,/POM00000880.jpg,False,True,POM00000880
Passmore Deborah Griscom,apple,apples,United States, Kansas,malus domestica,Grammars Pearmain,1899.0,/POM00002044.jpg,False,True,POM00002044
Steadman Royal Charles,apple,apples,United States, Virginia,malus domestica,Grand Sultan,1922.0,/POM00000345.jpg,False,True,POM00000345
Schutt Ellen Isham,apple,apples,United States, Virginia,malus domestica,Grand Sultan,1908.0,/POM00002045.jpg,False,True,POM00002045
Passmore Deborah Griscom,apple,apples,United States, Illinois,malus domestica,Granny Buff,1898.0,/POM00001657.jpg,False,True,POM00001657
Steadman Royal Charles,apple,apples,United States, Virginia,malus domestica,Granny Smith,1925.0,/POM00002046.jpg,False,True,POM00002046
Arnold Mary Daisy,apple,apples,United States, Virginia,malus domestica,Granny Smith,1933.0,/POM00002047.jpg,False,True,POM00002047
Steadman Royal Charles,apple,apples,United States, Virginia,malus domestica,Granny Smith,1927.0,/POM00002048.jpg,False,True,POM00002048
Shull James Marion,apple,apples,United States, Washington,malus domestica,Grano,1909.0,/POM00003997.jpg,False,True,POM00003997
Heiges Bertha,apple,apples,United States, Virginia,malus domestica,Grassy Mountain,1903.0,/POM00002049.jpg,False,True,POM00002049
Shull James Marion,apple,apples,,,malus domestica,Gravenstein,1910.0,/POM00003613.jpg,False,True,POM00003613
